================================================================================
COMPLETE WORD-TO-PHONEME MAPPING
================================================================================
Total mapped words: 1135

'd                   -> /W UH D/
'em                  -> /DH EH M/
'll                  -> /W IH L/
'm                   -> /AE M/
're                  -> /AA R/
's                   -> /IH Z/
've                  -> /HH AE V/
a                    -> /AH/
able                 -> /EY B AH L/
about                -> /AH B AW T/
absolutely           -> /AE B S AH L UW T L IY/
accept               -> /AE K S EH P T/
account              -> /AH K AW N T/
across               -> /AH K R AO S/
act                  -> /AE K T/
action               -> /AE K SH AH N/
actual               -> /AE K CH AH W AH L/
actually             -> /AE K CH AH W AH L IY/
add                  -> /AE D/
advice               -> /AE D V AY S/
afford               -> /AH F AO R D/
afraid               -> /AH F R EY D/
after                -> /AE F T ER/
afternoon            -> /AE F T ER N UW N/
again                -> /AH G EH N/
against              -> /AH G EH N S T/
age                  -> /EY JH/
ago                  -> /AH G OW/
agree                -> /AH G R IY/
agreed               -> /AH G R IY D/
ah                   -> /AA/
aha                  -> /AA HH AA/
air                  -> /EH R/
all                  -> /AO L/
allowed              -> /AH L AW D/
almost               -> /AO L M OW S T/
along                -> /AH L AO NG/
already              -> /AO L R EH D IY/
alright              -> /AO L R AY T/
also                 -> /AO L S OW/
although             -> /AO L DH OW/
always               -> /AO L W EY Z/
am                   -> /AE M/
American             -> /AH M EH R AH K AH N/
amount               -> /AH M AW N T/
an                   -> /AE N/
and                  -> /AH N D/
another              -> /AH N AH DH ER/
answer               -> /AE N S ER/
any                  -> /EH N IY/
anybody              -> /EH N IY B AH D IY/
anyone               -> /EH N IY W AH N/
anything             -> /EH N IY TH IH NG/
anyway               -> /EH N IY W EY/
anywhere             -> /EH N IY W EH R/
apparently           -> /AH P EH R AH N T L IY/
application          -> /AE P L AH K EY SH AH N/
appropriate          -> /AH P R OW P R IY AH T/
are                  -> /AA R/
area                 -> /EH R IY AH/
areas                -> /EH R IY AH Z/
argument             -> /AA R G Y AH M AH N T/
around               -> /ER AW N D/
as                   -> /AE Z/
ask                  -> /AE S K/
asked                -> /AE S K T/
asking               -> /AE S K IH NG/
at                   -> /AE T/
authorities          -> /AH TH AO R AH T IY Z/
authority            -> /AH TH AO R AH T IY/
available            -> /AH V EY L AH B AH L/
aware                -> /AH W EH R/
away                 -> /AH W EY/
awful                -> /AA F AH L/
aye                  -> /AY/
baby                 -> /B EY B IY/
back                 -> /B AE K/
bad                  -> /B AE D/
bag                  -> /B AE G/
ball                 -> /B AO L/
bank                 -> /B AE NG K/
bar                  -> /B AA R/
based                -> /B EY S T/
basically            -> /B EY S IH K L IY/
basis                -> /B EY S AH S/
be                   -> /B IY/
beautiful            -> /B Y UW T AH F AH L/
become               -> /B IH K AH M/
bed                  -> /B EH D/
bedroom              -> /B EH D R UW M/
been                 -> /B IH N/
before               -> /B IH F AO R/
beginning            -> /B IH G IH N IH NG/
behind               -> /B IH HH AY N D/
being                -> /B IY IH NG/
believe              -> /B IH L IY V/
benefit              -> /B EH N AH F IH T/
best                 -> /B EH S T/
bet                  -> /B EH T/
better               -> /B EH T ER/
between              -> /B IH T W IY N/
big                  -> /B IH G/
bigger               -> /B IH G ER/
bill                 -> /B IH L/
birthday             -> /B ER TH D EY/
bits                 -> /B IH T S/
black                -> /B L AE K/
bloke                -> /B L OW K/
bloody               -> /B L AH D IY/
blue                 -> /B L UW/
board                -> /B AO R D/
boat                 -> /B OW T/
body                 -> /B AA D IY/
book                 -> /B UH K/
books                -> /B UH K S/
born                 -> /B AO R N/
both                 -> /B OW TH/
bother               -> /B AA DH ER/
bottom               -> /B AA T AH M/
bought               -> /B AA T/
box                  -> /B AA K S/
boy                  -> /B OY/
boys                 -> /B OY Z/
bread                -> /B R EH D/
break                -> /B R EY K/
brilliant            -> /B R IH L Y AH N T/
bring                -> /B R IH NG/
Britain              -> /B R IH T AH N/
British              -> /B R IH T IH SH/
brother              -> /B R AH DH ER/
brought              -> /B R AO T/
budget               -> /B AH JH IH T/
build                -> /B IH L D/
building             -> /B IH L D IH NG/
built                -> /B IH L T/
bus                  -> /B AH S/
business             -> /B IH Z N AH S/
busy                 -> /B IH Z IY/
but                  -> /B AH T/
buy                  -> /B AY/
buying               -> /B AY IH NG/
by                   -> /B AY/
bye                  -> /B AY/
call                 -> /K AO L/
called               -> /K AO L D/
came                 -> /K EY M/
can                  -> /K AE N/
capital              -> /K AE P AH T AH L/
car                  -> /K AA R/
card                 -> /K AA R D/
care                 -> /K EH R/
careful              -> /K EH R F AH L/
carried              -> /K AE R IY D/
carry                -> /K AE R IY/
cars                 -> /K AA R Z/
case                 -> /K EY S/
cases                -> /K EY S AH Z/
cat                  -> /K AE T/
central              -> /S EH N T R AH L/
centre               -> /S EH N T ER/
certain              -> /S ER T AH N/
certainly            -> /S ER T AH N L IY/
chair                -> /CH EH R/
chairman             -> /CH EH R M AH N/
chance               -> /CH AE N S/
change               -> /CH EY N JH/
changed              -> /CH EY N JH D/
changes              -> /CH EY N JH AH Z/
chap                 -> /CH AE P/
cheap                -> /CH IY P/
check                -> /CH EH K/
child                -> /CH AY L D/
children             -> /CH IH L D R AH N/
choice               -> /CH OY S/
Chris                -> /K R IH S/
Christ               -> /K R AY S T/
Christmas            -> /K R IH S M AH S/
church               -> /CH ER CH/
city                 -> /S IH T IY/
class                -> /K L AE S/
clear                -> /K L IH R/
clearly              -> /K L IH R L IY/
client               -> /K L AY AH N T/
close                -> /K L OW S/
clothes              -> /K L OW DH Z/
club                 -> /K L AH B/
coal                 -> /K OW L/
coffee               -> /K AA F IY/
cold                 -> /K OW L D/
colleagues           -> /K AA L IY G Z/
college              -> /K AA L IH JH/
come                 -> /K AH M/
comes                -> /K AH M Z/
coming               -> /K AH M IH NG/
comments             -> /K AA M EH N T S/
committee            -> /K AH M IH T IY/
common               -> /K AA M AH N/
community            -> /K AH M Y UW N AH T IY/
