	Word	PoS	FrSp		LL	FrWr

	the	Det	39605	-	104720.4	64420
	I	Pron	29448	+	369238.5	6494
	you	Pron	25957	+	385328.3	4755
	and	Conj	25210	-	1134.5	27002
	it	Pron	24508	+	151913.5	9298
	a	Det	18637	-	4992.3	21972
	's	Verb	17677	+	384464.6	1848
	to	Inf	14912	-	1371.7	16442
	of	Prep	14550	-	104519.3	31109
	that	DetP	14252	+	213613.5	2581
	n't	Neg	12212	+	177089.3	2300
	in	Prep	11609	-	31394.0	18978
	we	Pron	10448	+	106914.5	2784
	is	Verb	10164	+	37.9	9961
	do	Verb	9594	+	126017.2	2016
	they	Pron	9333	+	52132.8	3754
	er	Uncl	8542	+	390869.9	11
	was	Verb	8097	-	1689.4	9368
	yeah	Int	7890	+	356172.5	17
	have	Verb	7488	+	16057.1	4416
	what	DetP	7313	+	75414.2	1936
	he	Pron	7277	+	364.2	6756
	that	Conj	7246	-	6.1	7315
	to	Prep	6950	-	7715.3	9620
	but	Conj	6366	+	7310.7	4370
	for	Prep	6239	-	7070.6	8664
	erm	Uncl	6029	+	281015.6	2
	be	Verb	5790	-	1319.9	6742
	on	Prep	5659	-	1235.5	6569
	this	DetP	5627	+	2379.6	4506
	know	Verb	5550	+	104930.3	734
	well	Adv	5310	+	107026.4	634
	so	Adv	5067	+	44484.3	1526
	oh	Int	5052	+	166592.5	179
	got	Verb	5025	+	117320.3	459
	've	Verb	4735	+	108766.4	446
	not	Neg	4693	+	11.3	4618
	are	Verb	4663	-	4.8	4713
	if	Conj	4544	+	18764.4	2118
	with	Prep	4446	-	8896.2	6821
	no	Int	4388	+	128715.5	230
	're	Verb	4255	+	93216.8	439
	she	Pron	4136	+	332.9	3762
	at	Prep	4115	-	1147.6	4868
	there	Ex	4067	+	9288.2	2354
	think	Verb	3977	+	71946.0	562
	yes	Int	3840	+	107268.2	231
	just	Adv	3820	+	40726.6	982
	all	DetP	3644	+	6115.9	2297
	can	VMod	3588	+	6572.3	2211
	then	Adv	3474	+	19911.6	1378
	get	Verb	3464	+	46650.2	709
	did	Verb	3368	+	22872.6	1210
	or	Conj	3357	-	392.5	3747
	would	VMod	3278	+	2223.9	2467
	mm	Int	3163	+	146051.7	3
	them	Pron	3126	+	10733.0	1572
	'll	VMod	3066	+	53585.0	455
	one	Num	3034	+	5910.9	1839
	there	Adv	2894	+	45269.5	498
	up	Adv	2891	+	6666.5	1668
	go	Verb	2885	+	35449.6	649
	now	Adv	2864	+	14540.7	1211
	your	Det	2859	+	14438.1	1212
	had	Verb	2835	-	7697.6	4639
	were	Verb	2749	-	858.2	3282
	about	Prep	2730	+	9185.9	1384
	two	Num	2710	+	8229.4	1428
	said	Verb	2685	+	1838.7	2018
	one	Pron	2532	+	21938.2	770
	'm	Verb	2512	+	38492.4	443
	see	Verb	2507	+	13371.6	1033
	me	Pron	2444	+	8239.6	1239
	very	Adv	2373	+	11530.6	1025
	out	Adv	2316	+	3968.3	1452
	my	Det	2278	+	3796.6	1438
	when	Conj	2255	+	1836.7	1649
	mean	Verb	2250	+	53431.1	198
	right	Adv	2209	+	62243.5	130
	which	DetP	2208	-	8187.5	3893
	from	Prep	2178	-	12708.7	4360
	going*	Verb	2174	+	27109.0	482
	say	Verb	2116	+	24125.8	512
	been	Verb	2082	-	1693.2	2756
	people	NoC	2063	+	5371.8	1146
	because*	Conj	2039	+	14376.4	715
	some	DetP	1986	+	485.6	1681
	could	VMod	1949	+	464.3	1653
	will	VMod	1890	-	1698.5	2537
	how	Adv	1888	+	7106.1	915
	on	Adv	1849	+	13638.6	630
	an	Det	1846	-	10000.3	3613
	time	NoC	1819	+	548.7	1509
	who	Pron	1780	-	443.9	2086
	want	Verb	1776	+	20109.9	432
	like	Prep	1762	+	4525.3	983
	come	Verb	1737	+	13389.7	574
	really	Adv	1727	+	24300.2	337
	three	Num	1721	+	9654.5	691
	by	Prep	1663	-	35309.0	5493
	here	Adv	1640	+	11087.8	590
	put	Verb	1640	+	15152.7	475
	's	Gen	1606	-	29320.9	4945
	has	Verb	1598	-	5051.0	2708
	good	Adj	1566	+	6955.6	706
	as	Conj	1558	-	9631.4	3174
	does	Verb	1549	+	9615.6	587
	cos*	Conj	1535	+	68811.4	4
	any	DetP	1484	+	624.8	1189
	down	Adv	1472	+	4515.8	772
	where	Adv	1380	+	8075.1	541
	~na*	Inf	1376	+	58868.4	8
	him	Pron	1348	-	676.1	1684
	his	Det	1333	-	31332.3	4627
	other	Adj	1313	-	4.4	1339
	five	Num	1308	+	15609.6	303
	in	Adv	1307	+	8310.9	488
	something	Pron	1290	+	9584.5	437
	their	Det	1284	-	9386.0	2761
	these	DetP	1269	+	2.0	1252
	our	Det	1253	+	1033.0	914
	way	NoC	1252	+	956.3	925
	ca~	VMod	1248	+	19835.7	210
	actually	Adv	1239	+	25097.6	147
	back	Adv	1211	+	2229.6	745
	four	Num	1199	+	9982.0	376
	'd	VMod	1194	+	15417.8	256
	should	VMod	1173	+	38.1	1105
	gon~	Verb	1154	+	49873.1	6
	take	Verb	1149	+	2625.5	665
	thing	NoC	1136	+	13670.5	261
	look	Verb	1123	+	9310.3	353
	those	DetP	1121	+	655.4	861
	why	Adv	1113	+	6453.4	439
	things	NoC	1103	+	9183.8	346
	no	Det	1102	-	529.1	1371
	only	Adv	1079	-	447.9	1323
	like	Verb	1070	+	12162.3	260
	into	Prep	1067	-	2560.1	1700
	us	Pron	1059	+	2981.0	573
	quite	Adv	1050	+	8435.6	338
	hundred	NoC	1023	+	23691.2	95
	right	Adj	1019	+	10192.7	277
	lot*	NoC	992	+	16309.2	160
	make	Verb	977	+	477.7	769
	first	Ord	957	-	572.0	1220
	okay*	Adv	950	+	40074.6	7
	more	DetP	949	+	938.2	671
	doing	Verb	943	+	12144.6	202
	done	Verb	931	+	7898.7	288
	twenty	Num	925	+	23929.7	67
	went	Verb	917	+	3675.1	433
	as	Prep	916	-	5727.7	1873
	six	Num	863	+	8443.7	239
	give	Verb	845	+	3270.5	405
	thought	Verb	845	+	2811.8	430
	again	Adv	836	+	1381.6	529
	off	Adv	831	+	2384.9	446
	might	VMod	809	+	657.1	592
	year	NoC	803	+	65.1	730
	her	Pron	800	-	942.2	1118
	last	Ord	788	+	150.6	680
	like	Adv	784	+	32469.1	7
	much	DetP	764	+	1057.8	504
	need	Verb	749	+	3967.2	310
	day	NoC	746	+	330.4	594
	used	VMod	742	+	15000.9	88
	says	Verb	740	+	2804.6	358
	still	Adv	739	+	7.2	715
	about	Adv	730	+	1785.4	414
	mhm	Int	722	+	33831.8	0
	ah	Int	712	+	22842.8	28
	sort	NoC	712	+	9947.3	140
	years	NoC	704	-	537.9	925
	never	Adv	700	+	387.4	542
	little	Adj	700	+	4476.2	261
	than	Conj	683	-	1547.3	1074
	tell	Verb	668	+	3824.7	265
	many	DetP	654	-	870.4	931
	same	DetP	651	+	24.0	611
	her*	Det	644	-	16899.4	2362
	another	DetP	640	+	66.3	575
	money	NoC	637	+	1818.7	343
	point	NoC	637	+	1887.5	338
	bit*	NoC	635	+	12403.1	80
	being	Verb	634	-	763.5	888
	anything	Pron	633	+	3716.7	248
	week	NoC	631	+	2765.9	286
	too	Adv	629	-	89.0	710
	more	Adv	624	-	4646.0	1351
	ten	Num	616	+	6735.9	155
	through	Prep	615	-	271.8	758
	eight	Num	606	+	8237.0	123
	new	Adj	603	-	3528.3	1208
	nice	Adj	603	+	11893.6	74
	work	NoC	601	-	48.8	659
	always	Adv	597	+	423.9	446
	thank	Verb	595	+	12397.0	67
	next	Ord	594	+	645.9	412
	must	VMod	589	-	305.0	739
	probably	Adv	585	+	3222.7	237
	saying	Verb	577	+	6836.4	135
	'd	Verb	577	+	2075.1	285
	pounds	NoC	572	+	11301.3	71
	nine	Num	571	+	9860.8	86
	Mr	NoC	565	+	37.2	519
	seven	Num	565	+	6896.1	128
	also	Adv	556	-	5482.9	1328
	wo~	VMod	552	+	7229.2	116
	big	Adj	549	+	3054.5	221
	over	Prep	543	-	627.6	757
	of course	Adv	543	+	1695.7	283
	getting	Verb	539	+	4647.3	165
	made	Verb	539	-	2336.9	990
