句子困惑度分析报告 (基于N-gram)
==================================================

模型类型: trigram
总句子数: 246

所有句子的困惑度 (按困惑度排序):
--------------------------------------------------

困惑度:     6.73 | 词数:  5 | We have to do it

困惑度:     7.49 | 词数:  6 | They did not get your signature

困惑度:     7.55 | 词数:  4 | We have to think

困惑度:     7.73 | 词数:  5 | They will appeal the case

困惑度:     7.77 | 词数:  7 | We have to confirm the trial schedule

困惑度:     7.78 | 词数:  6 | We have to schedule the trial

困惑度:     7.80 | 词数:  6 | We have to appeal the case

困惑度:     7.88 | 词数:  4 | What is your point

困惑度:     7.96 | 词数:  6 | We have to do it now

困惑度:     8.01 | 词数:  7 | The client is not in the trial

困惑度:     8.05 | 词数:  6 | Do you know about the case

困惑度:     8.11 | 词数:  4 | They will do it

困惑度:     8.14 | 词数:  5 | They did not confirm it

困惑度:     8.19 | 词数:  6 | We have to confirm the signature

困惑度:     8.26 | 词数:  6 | We can get it for you

困惑度:     8.32 | 词数:  7 | I think it is not for you

困惑度:     8.32 | 词数:  6 | The judge will confirm the appeal

困惑度:     8.38 | 词数:  6 | They did not appeal the case

困惑度:     8.43 | 词数:  7 | I think it is not for us

困惑度:     8.48 | 词数:  6 | The client will appeal the case

困惑度:     8.58 | 词数:  6 | The judge will schedule the trial

困惑度:     8.61 | 词数:  6 | I can get it for you

困惑度:     8.67 | 词数:  6 | The judge will confirm the signature

困惑度:     8.78 | 词数:  5 | They will schedule the trial

困惑度:     8.79 | 词数:  5 | We have the case now

困惑度:     8.85 | 词数: 10 | I think that the client is not in the trial

困惑度:     8.86 | 词数:  4 | What do you think

困惑度:     8.88 | 词数:  5 | Do you know about that

困惑度:     8.90 | 词数:  4 | This is for you

困惑度:     8.94 | 词数:  5 | The client is in litigation

困惑度:     8.98 | 词数:  5 | I will confirm the schedule

困惑度:     9.01 | 词数:  6 | We did not get your signature

困惑度:     9.02 | 词数:  6 | We can do it for you

困惑度:     9.02 | 词数:  4 | We have your signature

困惑度:     9.03 | 词数:  9 | We have to confirm the signature for the client

困惑度:     9.03 | 词数:  4 | I know the client

困惑度:     9.04 | 词数:  5 | I did it for you

困惑度:     9.09 | 词数:  6 | Do you know about the litigation

困惑度:     9.10 | 词数:  6 | They did not get the appeal

困惑度:     9.11 | 词数:  6 | What do you think about it

困惑度:     9.14 | 词数:  6 | They did not confirm the schedule

困惑度:     9.16 | 词数:  4 | You can do it

困惑度:     9.19 | 词数:  4 | Do you think so

困惑度:     9.19 | 词数:  8 | Do you know when we will do it

困惑度:     9.26 | 词数:  7 | I confirm the schedule for the trial

困惑度:     9.29 | 词数:  5 | I will think about it

困惑度:     9.41 | 词数:  6 | They did not know the point

